"stil","ime_nemscina","opis_materiala_nemscina","opis_artikla_nemscina"
"02.1206","Herren Trekking Hose","85% Polyamid, 15% Elasthan","Wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, teilelastischer Bund mit Gürtelschlaufen und Gürtel, alle Taschen mit Reißverschluss, 2 Seitentaschen, 1 Gesäßtasche, 1 Tasche am Bein, Einsätze in Kontrastfarbe am Knie und Gesäß, schnelltrocknend"
"02.1207","Damen Stretch Hose","300g/m², 85% Polyamid, 15% Elasthan","Wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, teilelastischer Bund mit Gürtelschlaufen, alle Taschen mit Reißverschluss, 2 seitliche Einschubtaschen, 1 Gesäßtasche, leichtes robustes und elastisches Gewebe, schnelltrocknend"
"02.1208","Herren Stretch Hose","300g/m², 85% Polyamid, 15% Elasthan","Wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, teilelastischer Bund mit Gürtelschlaufen, alle Taschen mit Reißverschluss, 2 seitliche Einschubtaschen, 1 Gesäßtasche, leichtes robustes und elastisches Gewebe, schnelltrocknend"
"02.1300","Herren Jersey Polo","180g/m², 100% gekämmte ringgesponnene mercerisierte Baumwolle, Single Jersey","Klassischer Schnitt, gestrickter, mit Webstoff unterlegter Polokragen, gestrickte Ärmelbündchen, 3er Knopfleiste mit Knöpfen in Farbe titan, Seitenschlitze, sehr feines Material mit leichtem Glanz"
"02.1301","Damen Jersey Polo","180g/m², 100% gekämmte ringgesponnene mercerisierte Baumwolle, Single Jersey","Taillierter Schnitt, gestrickter, mit Webstoff unterlegter Polokragen, gestrickte Ärmelbündchen, 5er Knopfleiste mit Knöpfen in Farbe titan, Seitenschlitze, sehr feines Material mit leichtem Glanz"
"02.1302","Herren Slim Fit Jersey Polo","180g/m², 100% gekämmte ringgesponnene mercerisierte Baumwolle, Single Jersey","Taillierter Schnitt, gestrickter, mit Webstoff unterlegter Polokragen, gestrickte Ärmelbündchen, 3er Knopfleiste mit Knöpfen in Farbe titan, Seitenschlitze, sehr feines Material mit leichtem Glanz"
"02.1303","Damen Kontrast Piqué Polo","195g/m², 100% gekämmte ringgesponnene Baumwolle","Taillierter Schnitt, 5er Knopfleiste, Nackenband in Kontrastfarbe, gestrickter Polokragen und Ärmelbündchen in Kontrastfarbe, Seitenschlitze"
"02.1304","Herren Kontrast Piqué Polo","195g/m², 100% gekämmte ringgesponnene Baumwolle","4er Knopfleiste, Nackenband in Kontrastfarbe, gestrickter Polokragen und Ärmelbündchen in Kontrastfarbe, Seitenschlitze"
"02.1305","Schweres Damen Piqué Polo mit Kontraststreifen","210g/m², 100% gekämmte ringgesponnene Baumwolle","Taillierter Schnitt, gestrickter Polokragen und Ärmelbündchen mit Streifen in Kontrastfarbe, 5er Knopfleiste mit Knöpfen Ton-in-Ton, Nackenband in Kontrastfarbe"
"02.1306","Schweres Herren Piqué Polo mit Kontraststreifen","210g/m², 100% gekämmte ringgesponnene Baumwolle","Gestrickter Polokragen und Ärmelbündchen mit Streifen in Kontrastfarbe, 3er Knopfleiste mit Knöpfen Ton-in-Ton, Nackenband in Kontrastfarbe"
"02.1307","Damen Polo mit Zip","170g/m², 100% Polyester","Leicht taillierter Schnitt, atmungsaktiv, gestrickter Polokragen und Ärmelbündchen, Nackenband, Raglanärmel, YKK Reißverschluss, feuchtigkeitsregulierend und schnelltrocknend"
"02.1308","Herren Polo mit Zip","170g/m², 100% Polyester","Atmungsaktiv, gestrickter Polokragen und Ärmelbündchen, Nackenband, Raglanärmel, YKK Reißverschluss, feuchtigkeitsregulierend und schnelltrocknend"
"02.1309","Damen Fleece Gilet","280g/m², Oberstoff 1: 100% recyceltes Polyester, Fleece, Oberstoff 2: 100% Polyester","Leicht taillierter Schnitt, Webbesatz im Vorderteil mit Brusttasche, Stehkragen, 2-Wege Reißverschluss, YKK Reißverschlüsse, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, 2 Innentaschen, pflegeleichtes und weiches Material"
"02.1310","Herren Fleece Gilet","280g/m², Oberstoff 1: 100% recyceltes Polyester, Fleece, Oberstoff 2: 100% Polyester","Webbesatz im Vorderteil mit Brusttasche, Stehkragen, 2-Wege Reißverschluss, YKK Reißverschlüsse, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, 2 Innentaschen, pflegeleichtes und weiches Material"
"02.1311","Damen Fleece Jacke","280g/m², Oberstoff 1: 100% recyceltes Polyester, Fleece, Oberstoff 2: 100% Polyester","Leicht taillierter Schnitt, Webbesatz im Vorderteil mit Brusttasche, Stehkragen, 2-Wege Reißverschluss, YKK Reißverschlüsse, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, 2 Innentaschen, pflegeleichtes und weiches Material"
"02.1312","Herren Fleece Jacke","280g/m², Oberstoff 1: 100% recyceltes Polyester, Fleece, Oberstoff 2: 100% Polyester","Webbesatz im Vorderteil mit Brusttasche, Stehkragen, 2-Wege Reißverschluss, YKK Reißverschlüsse, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, 2 Innentaschen, pflegeleichtes und weiches Material"
"02.1313","Damen Rundhals Pullover","260g/m², 100% Baumwolle","Taillierter Schnitt, schmaler Rundhalsausschnitt, leichte Strickqualität, maschinenwaschbar"
"02.1314","Herren Rundhals Pullover","260g/m², 100% Baumwolle","Schmaler Rundhalsausschnitt, leichte Strickqualität, maschinenwaschbar"
"02.1315","Damen 2-Lagen Softshell Jacke","250g/m², 94% Polyester, 6% Elasthan, Futter: Bird eye Netz","Leicht Taillierter Schnitt, 2-Lagiges Softshellmaterial, Wasser- Und Schmutzabweisend Durch Bionic-Finish®Eco, Stehkragen Mit Druckknopf, Leicht Gesteppte Einsätze An Schultern Und Ärmeln, Durchgehend Unterlegter Frontreißverschluss, Alle Reißverschlüsse In Wasserdichter Optik, 2 Seitentaschen Und 1 Brusttasche Mit Reißverschluss, 2 Innentaschen"
"02.1316","Herren 2-Lagen Softshell Jacke","250g/m², 94% Polyester, 6% Elasthan, Futter: Bird eye Netz","2-Lagiges Softshellmaterial, Wasser- Und Schmutzabweisend Durch Bionic-Finish®Eco, Stehkragen Mit Druckknopf, Leicht Gesteppte Einsätze An Schultern Und Ärmeln, Durchgehend Unterlegter Frontreißverschluss, Alle Reißverschlüsse In Wasserdichter Optik, 2 Seitentaschen Und 1 Brusttasche Mit Reißverschluss, 2 Innentaschen"
"02.132L","Workwear Hose ""Modern Style"" - Strong","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Besatz: 100% Polyamid","Schmaler Schnitt, dehnbarer Bund mit Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, 2 Taschen mit Reißverschluss, Handytasche, Zollstocktasche, Stiftefach, reißfeste 3-fach Naht, robust und strapazierfähig, elastisch, Reflexelemente (ohne Schutzfunktion), 60° waschbar, trocknergeeignet, in 3 Längen erhältlich, im Webshop: kurz 02.132S, mittel 02.132M/02.132X, lang 02.132L"
"02.132M","Workwear Hose ""Modern Style"" - Strong","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Besatz: 100% Polyamid","Schmaler Schnitt, dehnbarer Bund mit Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, 2 Taschen mit Reißverschluss, Handytasche, Zollstocktasche, Stiftefach, reißfeste 3-fach Naht, robust und strapazierfähig, elastisch, Reflexelemente (ohne Schutzfunktion), 60° waschbar, trocknergeeignet, in 3 Längen erhältlich, im Webshop: kurz 02.132S, mittel 02.132M/02.132X, lang 02.132L, Größe 62 Art.Nr. 02.132X"
"02.132S","Workwear Hose ""Modern Style"" - Strong","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Besatz: 100% Polyamid","Schmaler Schnitt, dehnbarer Bund mit Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, 2 Taschen mit Reißverschluss, Handytasche, Zollstocktasche, Stiftefach, reißfeste 3-fach Naht, robust und strapazierfähig, elastisch, Reflexelemente (ohne Schutzfunktion), 60° waschbar, trocknergeeignet, in 3 Längen erhältlich, im Webshop: kurz 02.132S, mittel 02.132M/02.132X, lang 02.132L"
"02.132X","Workwear Hose ""Modern Style"" - Strong","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Besatz: 100% Polyamid","Schmaler Schnitt, dehnbarer Bund mit Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, 2 Taschen mit Reißverschluss, Handytasche, Zollstocktasche, Stiftefach, reißfeste 3-fach Naht, robust und strapazierfähig, elastisch, Reflexelemente (ohne Schutzfunktion), 60° waschbar, trocknergeeignet, im Webshop: kurz 02.132S, mittel 02.132M/02.132X, lang 02.132L"
"02.133L","Workwear Latzhose - Strong","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Besatz: 100% Polyamid","Verstellbarer Latz mit elastischen Trägern, dehnbarer Bund mit Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, geräumige Tasche mit Reißverschluss am Latz innen, reißfeste 3-fach Naht, Reflexelemente (ohne Schutzfunktion), 60° waschbar, trocknergeeignet, in 3 Längen erhältlich, im Webshop: kurz 02.133S, mittel 02.133M/02.133X, lang 02.133L"
"02.133M","Workwear Latzhose - Strong","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Besatz: 100% Polyamid","Verstellbarer Latz mit elastischen Trägern, dehnbarer Bund mit Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, geräumige Tasche mit Reißverschluss am Latz innen, reißfeste 3-fach Naht, Reflexelemente (ohne Schutzfunktion), 60° waschbar, trocknergeeignet, in 3 Längen erhältlich, im Webshop: kurz 02.133S, mittel 02.133M/02.133X, lang 02.133L, Größe 62 Art.Nr. 02.133X"
"02.133S","Workwear Latzhose - Strong","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Besatz: 100% Polyamid","Verstellbarer Latz mit elastischen Trägern, dehnbarer Bund mit Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, geräumige Tasche mit Reißverschluss am Latz innen, reißfeste 3-fach Naht, Reflexelemente (ohne Schutzfunktion), 60° waschbar, trocknergeeignet, in 3 Längen erhältlich, im Webshop: kurz 02.133S, mittel 02.133M/02.133X, lang 02.133L"
"02.133X","Workwear Latzhose - Strong","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Besatz: 100% Polyamid","Verstellbarer Latz mit elastischen Trägern, dehnbarer Bund mit Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, geräumige Tasche mit Reißverschluss am Latz innen, reißfeste 3-fach Naht, Reflexelemente (ohne Schutzfunktion), 60° waschbar, trocknergeeignet, im Webshop: kurz 02.133S, mittel 02.133M/02.133X, lang 02.133L"
"02.135K","Kinder 3-Lagen Softshell Jacke","330g/m², 95% Polyester, 5% Elasthan, Außen: 3-lagiges Funktionsmaterial mit TPU-Membran, Innen: Microfleece","Wasserdicht (5.000mm Wassersäule), atmungsaktiv, Netzfutter vorne, elastischer Kordelzug mit Stoppern am Saum, Veredelungszugang im Vorderteil, winddicht, reflektierende Details (ohne Schutzfunktion) im Vorderteil, Rückenteil und am Ärmel"
"02.145M","Workwear Regenhose","60% Polyester, 40% Polyurethan","Wind- und wasserdicht (10.000mm Wassersäule), elastischer Bund mit Kordel, Klettverschlüsse am Beinabschluss zur Weitenregulierung, lange verdeckte Reißverschlüsse mit Blende zum einfachen Überziehen der Hose mit Schuhen, verschweißte Nähte, Reflexelemente (ohne Schutzfunktion), Größe 62-68 Art.Nr. 02.145X"
"02.145X","Workwear Regenhose","60% Polyester, 40% Polyurethan","Wind- und wasserdicht (10.000mm Wassersäule), elastischer Bund mit Kordel, Klettverschlüsse am Beinabschluss zur Weitenregulierung, lange verdeckte Reißverschlüsse mit Blende zum einfachen Überziehen der Hose mit Schuhen, verschweißte Nähte, Reflexelemente (ohne Schutzfunktion), Größe 42-60 Art.Nr. 02.145M"
"02.1801","Damen Bio Workwear Stretch T-Shirt - Solid","180g/m², 95% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 5% Elasthan, Single Jersey, grey heather: 85% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 10% Viskose, 5% Elasthan","Leicht taillierter Schnitt, Rundhalsausschnitt, Nackenband, Bündchen am Hals mit Elasthan, UV-Schutz 50+, trocknergeeignet"
"02.1802","Herren Bio Workwear Stretch T-Shirt - Solid","180g/m², 95% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 5% Elasthan, Single Jersey, grey heather: 85% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 10% Viskose, 5% Elasthan","Rundhalsausschnitt, Nackenband, Bündchen am Hals mit Elasthan, UV-Schutz 50+, trocknergeeignet"
"02.1803","Damen Bio Workwear Stretch T-Shirt langarm - Solid","180g/m², 95% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 5% Elasthan, Single Jersey, grey heather: 85% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 10% Viskose, 5% Elasthan","Leicht taillierter Schnitt, Rundhalsausschnitt, Nackenband, Bündchen am Hals mit Elasthan, UV-Schutz 50+, trocknergeeignet"
"02.1804","Herren Workwear Stretch T-Shirt langarm - Solid","180g/m², 95% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 5% Elasthan, Single Jersey, grey heather: 85% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 10% Viskose, 5% Elasthan","Rundhalsausschnitt, Nackenband, Bündchen am Hals mit Elasthan, UV-Schutz 50+, trocknergeeignet"
"02.1805","Damen Bio Workwear Stretch Polo - Solid","210g/m², 94% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 6% Elasthan, grey heather: 84% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 10% Viskose, 6% Elasthan","Leicht taillierter Schnitt, gestrickter Polokragen und Ärmelbündchen, 4er Knopfleiste mit Knöpfen Ton-in-Ton, Seitenschlitze, UV-Schutz 50+, trocknergeeignet"
"02.1806","Herren Bio Stretch Polo Work - Solid","210g/m², 94% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 6% Elasthan, grey heather: 84% gekämmte ringgesponnene zertifizierte Bio-Baumwolle, 10% Viskose, 6% Elasthan","Gestrickter Polokragen und Ärmelbündchen, 3er Knopfleiste mit Knöpfen Ton-in-Ton, Seitenschlitze, UV-Schutz 50+, trocknergeeignet"
"02.1807","Damen Bio Workwear T-Shirt - Solid","160g/m², 50% Polyester, 50% gekämmte ringgesponnene zertifizierte Bio-Baumwolle","Leicht taillierter Schnitt, V-Ausschnitt, Nackenband, Bündchen am Hals mit Elasthan, strapazierfähig, pflegeleicht, 60° waschbar, trocknergeeignet"
"02.1808","Herren Bio Workwear T-Shirt - Solid","160g/m², 50% Polyester, 50% gekämmte ringgesponnene zertifizierte Bio-Baumwolle","Rundhalsausschnitt, Nackenband, Bündchen am Hals mit Elasthan, strapazierfähig, pflegeleicht, 60° waschbar, trocknergeeignet"
"02.1809","Damen Workwear Jacket - Solid","380g/m², 55% Polyester, 45% Baumwolle","Leicht taillierter Schnitt, 2-lagige Konstruktion, Außen: Jerseystoff, Innenseite: Fleece, Stehkragen, elastische Bündchen an Arm- und Bundabschluss, YKK Reißverschlüsse, Kängurutasche mit verdeckten Reißverschlüssen, reflektierender Frontreißverschluss (ohne Schutzfunktion)"
"02.1810","Herren Doubleface Work Jacket - Solid","380g/m², 55% Polyester, 45% Baumwolle","2-lagige Konstruktion, Innenseite: Fleece, Außen: Jerseystoff, Stehkragen, elastische Bündchen an Arm- und Bundabschluss, YKK Reißverschlüsse, Kängurutasche mit verdeckten Reißverschlüssen, reflektierender Frontreißverschluss (ohne Schutzfunktion)"
"02.1811","Workwear Stretch Bermuda ""Slim Line""","260g/m², Oberstoff 1: 65% recyceltes Polyester, 32% zertifizierte Bio-Baumwolle, 3% Elasthan, Oberstoff 2: 94% Polyamid, 6% Elasthan, Besatz: 100% Polyamid","Bund mit Gürtelschlaufen, YKK Reißverschluss, Schubtaschen, diverse Werkzeugtaschen, Taschen verstärkt mit Cordura®, Zollstocktasche, Handytasche und Stiftefächer, 1 Tasche mit Reißverschluss, reißfeste 3-fach Naht, elastische Stoffeinsätze"
"02.1814","Workwear Hardshell Jacke","Oberstoff: 100% recyceltes Polyester, Futterstoff: 100% recyceltes Polyester","Wind- und wasserdicht (10.000mm Wassersäule), atmungsaktiv und wasserdampfdurchlässig (5.000g/m² in 24h), Stehkragen, abnehmbare, weiten- und längenregulierbare Kapuze, YKK Reißverschlüsse, durchgehend unterlegter wasserdichter 2-Wege Reißverschluss, Nähte versiegelt, ergonomisch verlängertes Rückenteil, Veredelungszugang am Rücken, Ripstop-Gewebe, robust und strapazierfähig, Reflexelemente (ohne Schutzfunktion), 30° waschbar"
"02.1815","Workwear Hardshell Padded Jacke","Oberstoff: 100% recyceltes Polyester, Futterstoff: 100% recyceltes Polyester, Wattierung: 100% Polyester DuPont™ Sorona®","Wind- und wasserdicht (10.000mm Wassersäule), atmungsaktiv und wasserdampfdurchlässig (5.000g/m² in 24h), Stehkragen, abnehmbare, weiten- und längenregulierbare Kapuze, YKK Reißverschlüsse, Nähte versiegelt, ergonomisch verlängertes Rückenteil, Veredelungszugang am Rücken, Ripstop-Gewebe, robust und strapazierfähig, Reflexelemente (ohne Schutzfunktion), 30° waschbar"
"02.1817","Damen Strickfleece Jacke","230g/m², 80% recyceltes Polyester, 20% Polyester","Leicht taillierter Schnitt, Stehkragen, durchgehender hinterlegter Frontreißverschluss mit Kinnschutz, YKK Reißverschlüsse, 2 Seitentaschen mit verdecktem Reißverschluss, 2 Innentaschen, Brusttasche aus Webstoff mit kontrastfarbigem Reißverschluss, Nähte in Kontrastfarbe, Melange-Optik, innen angeraut, 30° waschbar"
"02.1818","Herren Strickfleece Jacke","230g/m², 80% recyceltes Polyester, 20% Polyester","Stehkragen, durchgehender hinterlegter Frontreißverschluss mit Kinnschutz, YKK Reißverschlüsse, 2 Seitentaschen mit verdecktem Reißverschluss, 2 Innentaschen, Brusttasche aus Webstoff mit kontrastfarbigem Reißverschluss, Nähte in Kontrastfarbe, Melange-Optik, innen angeraut, 30° waschbar"
"02.1819","Damen Hybrid Jacke","280g/m², Oberstoff 1: 100% recyceltes Polyester, Oberstoff 2: 100% recyceltes Polyester, Futterstoff: 100% recyceltes Polyester, Wattierung: 100% Polyester DuPont™ Sorona®","Leicht taillierter Schnitt, 2-lagiges Softshellmaterial, wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, Stehkragen, gesteppte Einsätze im Vorder- und Rückenteil, YKK Reißverschlüsse, durchgehend unterlegter 2-Wege Reißverschluss mit Windschutzblende und Kinnschutz, 1 Innentasche mit Klettverschluss, Brusttasche mit Reißverschluss, 2 Seitentaschen mit Reißverschluss, Veredelungszugang am Rücken, Reflexelemente (ohne Schutzfunktion), 30° waschbar"
"02.1820","Herren Hybrid Jacke","280g/m², Oberstoff 1: 100% recyceltes Polyester, Oberstoff 2: 100% recyceltes Polyester, Futterstoff: 100% recyceltes Polyester, Wattierung: 100% Polyester DuPont™ Sorona®","2-lagiges Softshellmaterial, wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, Stehkragen, gesteppte Einsätze im Vorder- und Rückenteil, YKK Reißverschlüsse, durchgehend unterlegter 2-Wege Reißverschluss mit Windschutzblende und Kinnschutz, 1 Innentasche mit Klettverschluss, Brusttasche mit Reißverschluss, 2 Seitentaschen mit Reißverschluss, Veredelungszugang am Rücken, Reflexelemente (ohne Schutzfunktion), 30° waschbar"
