"stil","ime_anglescina","opis_materiala_anglescina","opis_artikla_anglescina"
"02.1062","Lightweight Men's Down Hooded Bodywarmer","Outer and inner: 100% polyamide, middle layer: 90% down, 10% feathers","Light wind and water repellent material, 2 side pockets, double quilted seams, contrasting lining and zips, binding in contrasting color on the hood, sleeves and cuffs, can be stowed into a separate bag"
"02.1073","Ladies' Sailing Jacket","100% polyamide","Lightly tailored fit, wind and water repellent (1,500mm water column), capped hood with cord in contrasting color, full-length windshield with chin guard, 2 side pockets with zip, zips in contrasting color"
"02.1074","Men's Sailing Jacket","100% polyamide","Wind and water repellent (1,500mm water column), capped hood with cord in contrasting color, full-length windshield with chin guard, 2 side pockets with zip, zips in contrasting color"
"02.1075","Ladies' Bodywarmer ""Maritim""","Outside: 100% polyamide, inside: 100% polyester","Lightly tailored fit, wind and water repellent (600mm water column), elastic cord with stopper on hood, elastic hem on armholes for good fit, full-length windshield, 2 front pockets, breast pocket inside, edging in contrasting color, decoration access at the back, matt surface"
"02.1076","Men's Bodywarmer ""Maritim""","Outside: 100% polyamide, inside: 100% polyester","Wind and water repellent (600mm water column), elastic cord with stopper on hood, elastic hem on armholes for good fit, full-length windshield, 2 front pockets, breast pocket inside, edging in contrasting color, decoration access at the back, matt surface"
"02.1077","Ladies' 3-Layer Softshell Jacket ""Maritim""","290g/m², 100% polyester","Lightly tailored fit, wind and waterproof (5,000mm water column), breathable and permeable to water vapor, stand-up collar, detachable hood, elastic cord with stopper on hood and hem, knitted cuffs, 2 side pockets and 1 breast pocket with zip, seams not sealed, contrasting zips and laterally ribbon, decoration access"
"02.1078","Men's 3-Layer Softshell Jacket ""Maritim""","290g/m², 100% polyester","Wind and waterproof (5,000mm water column), breathable and permeable to water vapor, stand-up collar, detachable hood, elastic cord with stopper on hood and hem, knitted cuffs, 2 side pockets and 1 breast pocket with zip, seams not sealed, contrasting zips and laterally ribbon, decoration access"
"02.1079","Ladies' Down Vest","Outer fabric: 100% polyester, lining: 100% polyester, padding: 90% down, 10% feathers","Lightly tailored fit, smooth wind and water repellent fabric, stand-up collar, elastic band on armholes, full-length windshield, 2 side pockets and 1 inner pocket with zip, contrasting binding on zip and collar"
"02.1080","Men's Down Bodywarmer","Outer fabric: 100% polyester, lining: 100% polyester, padding: 90% down, 10% feathers","Smooth wind and water repellent fabric, stand-up collar, elastic band on armholes, full-length windshield, 2 side pockets and 1 inner pocket with zip, contrasting binding on zip and collar"
"02.1081","Ladies' Down Jacket","Outer fabric: 100% polyester, lining: 100% polyester, padding: 90% down, 10% feathers","Lightly tailored fit, smooth wind and water repellent fabric, stand-up collar, full-length windshield, 2 side pockets and 1 inner pocket with zip, binding in contrasting color on zip, collar and sleeves"
"02.1082","Men's Down Jacket","Outer fabric: 100% polyester, lining: 100% polyester, padding: 90% down, 10% feathers","Smooth wind and water repellent fabric, stand-up collar, full-length windshield, 2 side pockets and 1 inner pocket with zip, binding in contrasting color on zip, collar and sleeves"
"02.1087","Ladies' 3-Layer Melange Softshell Jacket","outside: 360g/m², 96% polyester, 4% elastane, middle layer: TPU membrane, inside: micro fleece with waffle structure","Lightly tailored fit, 3-layer fabric, water repellent (5,000mm water column), breathable, stand-up collar, cuffs with velcro fastener, 2 side pockets with zip, seams not sealed, windproof"
"02.1088","Men's 3-Layer Melange Softshell Jacket","outside: 360g/m², 96% polyester, 4% elastane, middle layer: TPU membrane, inside: micro fleece with waffle structure","3-layer fabric, water repellent (5,000mm water column), breathable, stand-up collar, cuffs with velcro fastener, 2 side pockets with zip, seams not sealed, windproof"
"02.1089","Ladies' Reversible Vest","Outside: 100% polyamide, lining: 100% polyester, DuPont™ Sorona® padding: 100% polyester","Lightly tailored fit, outside: quilted, inside: smooth, stand-up collar, elastic arm cuffs, 2 pockets outside and inside, decoration access in side seam, can be stowed in inside pocket"
"02.1090","Men's Reversible Vest","Outside: 100% polyamide, lining: 100% polyester, DuPont™ Sorona® padding: 100% polyester","Outside: quilted, inside: smooth, stand-up collar, elastic arm cuffs, 2 pockets outside and inside, decoration access in side seam, can be stowed in inside pocket"
"02.1091","Ladies' Reversible Jacket","Outside: 100% polyamide, lining: 100% polyester, DuPont™ Sorona® padding: 100% polyester","Lightly tailored fit, outside: quilted, inside: smooth, elastic arm cuffs, 2 pockets outside and inside, decoration access in side seam, can be stowed in inside pocket"
"02.1092","Men's Reversible Jacket","Outside: 100% polyamide, lining: 100% polyester, DuPont™ Sorona® padding: 100% polyester","Outside: quilted, inside: smooth, elastic arm cuffs, 2 pockets outside and inside, decoration access in side seam, can be stowed in inside pocket"
"02.1097","Ladies' 3-Layer Softshell Jacket","130g/m², 100% polyester","Lightly tailored fit, ergonomic fit with a longer the back, wind and waterproof (10,000mm water column), waterproof zips, waterproof functional fabric with TPU-membrane, breathable (5,000g/m² in 24h), adjustable hood, 2-way zip, 2 side pockets with zip, sealed seams, ultra light"
"02.1098","Men's 3-Layer Softshell Jacket","130g/m², 100% polyester","Ergonomic fit with a longer the back, wind and waterproof (10,000mm water column), waterproof zips, waterproof functional fabric with TPU-membrane, breathable (5,000g/m² in 24h), adjustable hood, 2-way zip, 2 side pockets with zip, sealed seams, ultra light"
"02.1109","Ladies' Lightweight Vest","Outer fabric: 100% polyamide, lining: 100% polyamide, padding: 100% polyester","Lightly tailored fit, wind and water repellent, stand-up collar, elastic arm cuffs, lined zip in contrasting color, chin guard, side pockets with zip"
"02.1110","Men's Lightweight Vest","Outer fabric: 100% polyamide, lining: 100% polyamide, padding: 100% polyester","Wind and water repellent, stand-up collar, elastic arm cuffs, lined zip in contrasting color, chin guard, side pockets with zip, partly quilted, large area for finishing"
"02.1111","Ladies' Lightweight Jacket","Outer fabric: 100% polyamide, lining: 100% polyamide, padding: 100% polyester","Lightly tailored fit, large not quilted area for decoration, wind and water repellent, stand-up collar, elastic ends on sleeves and hem, lined zip in contrasting color, chin guard, side pockets with zip"
"02.1112","Men's Lightweight Jacket","Outer fabric: 100% polyamide, lining: 100% polyamide, padding: 100% polyester","Large not quilted area for decoration, wind and water repellent, stand-up collar, elastic ends on sleeves and hem, lined zip in contrasting color, chin guard, side pockets with zip, partly quilted"
"02.1113","Ladies' Hybrid Vest","Outer fabric: 100% polyamide, outer fabric 2: 92% polyester, 8% elastane, lining: 100% polyamide, padding: 100% polyester","Lightly padded vest, tailored fit, stand-up collar, lined contrasting zip with chin guard, 2 side pockets and inner pocket with zip, contrasting lining, decoration access in lining, sporty material mix with ripstop fabric, elastic fabric inserts"
"02.1114","Men's Hybrid Vest","Outer fabric: 100% polyamide, outer fabric 2: 92% polyester, 8% elastane, lining: 100% polyamide, padding: 100% polyester","Lightly padded vest, stand-up collar, lined contrasting zip with chin guard, 2 side pockets and inner pocket with zip, contrasting lining, decoration access in lining, sporty material mix with ripstop fabric, elastic fabric inserts"
"02.1115","Ladies' Hybrid Jacket","Outer fabric: 100% polyamide, outer fabric 2: 92% polyester, 8% elastane, lining: 100% polyamide, padding: 100% polyester","Lightly padded jacket, tailored fit, stand-up collar, lined zip with chin guard and contrasting lining, 2 side pockets and inner pocket with zip, decoration access in lining, sporty material mix with ripstop fabric, elastic fabric inserts"
"02.1116","Men's Hybrid Jacket","Outer fabric: 100% polyamide, outer fabric 2: 92% polyester, 8% elastane, lining: 100% polyamide, padding: 100% polyester","Lightly padded jacket, stand-up collar, lined zip with chin guard and contrasting lining, 2 side pockets and inner pocket with zip, decoration access in lining, sporty material mix with ripstop fabric, elastic fabric inserts"
"02.1117","Ladies' Rain Jacket","Outside: 100% polyester, inside: 100% polyester","Tailored fit, wind and waterproof (3,000mm water column) with TPU-coating, breathable (1,500g/m² in 24h), adjustable hood with elastic cord, chin guard, 2 side pockets with zip, inner pocket, sealed seams, zips in contrasting color, decoration access at the back, reflective details (without protective function) on hood, front and back"
"02.1118","Men's Rain Jacket","Outside: 100% polyester, inside: 100% polyester","Wind and waterproof (3,000mm water column) with TPU-coating, breathable (1,500g/m² in 24h), adjustable hood with elastic cord, chin guard, 2 side pockets with zip, inner pocket, sealed seams, zips in contrasting color, decoration access at the back, reflective details (without protective function) on hood, front and back"
"02.1119","Ladies' Quilted Jacket","Outside: 100% polyamide, lining and padding: 100% polyester","Tailored fit, wind and water repellent, stand-up collar, lined zip, 2 side pockets with zip, decoration access at the back"
"02.1120","Men's Quilted Jacket","Outside: 100% polyamide, lining and padding: 100% polyester","Wind and water repellent, stand-up collar, lined zip, 2 side pockets with zip, decoration access at the back"
"02.1121","Ladies' Softshell Jacket with detachable sleeves","230g/m², outside: 100% polyester","Tailored fit, wind and waterproof (5,000mm water column) 3-layer functional fabric with TPU-membrane, breathable, stand-up collar, detachable sleeves, 1 inner pocket, 2 side pockets, sleeve pocket, seams not sealed, contrasting piping, contrasting inner side, reflective zip and details on the shoulder, back and sleeves (without protective function)"
"02.1122","Men's Softshell Jacket with detachable sleeves","230g/m², outside: 100% polyester","Wind and waterproof (5,000mm water column) 3-layer functional fabric with TPU-membrane, breathable, stand-up collar, 1 inner pocket, 2 side pockets, sleeve pocket, seams not sealed, contrasting piping, contrasting inner side, reflective zip and details on the shoulder, back and sleeves (without protective function)"
"02.1123","Ladies' Hybrid Sweat Jacket","280g/m², outer fabric 1: 80% cotton, 20% polyester, outer fabric 2: 100% polyamide, padding: 100% polyester","Tailored fit, stand-up collar, 2 side pockets with zip, 2 inside pockets, back and sleeves made of french terry quality, slightly padded and quilted front part"
"02.1124","Men's Hybrid Sweat Jacket","280g/m², outer fabric 1: 80% cotton, 20% polyester, outer fabric 2: 100% polyamide, padding: 100% polyester","2 side pockets with zip, 2 inside pockets, back and sleeves made of french terry quality, slightly padded and quilted front part"
